


GOOGLE
157.56.93.202  msnbot-157-56-93-202.search.msn.com
157.55.32.95   msnbot-157-55-32-95.search.msn.com
65.52.111.79   msnbot-65-52-111-79.search.msn.com
65.52.111.219  msnbot-65-52-111-219.search.msn.com
65.55.210.190  msnbot-65-55-210-190.search.msn.com
157.55.32.99   msnbot-157-55-32-99.search.msn.com
157.55.32.190  msnbot-157-55-32-190.search.msn.com
157.56.229.186 msnbot-157-56-229-186.search.msn.com
157.55.32.105  msnbot-157-55-32-105.search.msn.com
157.55.33.84   msnbot-157-55-33-84.search.msn.com
157.56.92.174  msnbot-157-56-92-174.search.msn.com
157.55.32.162  msnbot-157-55-32-162.search.msn.com
157.55.33.110  msnbot-157-55-33-110.search.msn.com
65.55.52.114   msnbot-65-55-52-114.search.msn.com
157.56.92.160   msnbot-157-56-92-160.search.msn.com
157.56.92.147   msnbot-157-56-92-147.search.msn.com
157.56.93.216   msnbot-157-56-93-216.search.msn.com
157.56.93.40    msnbot-157-56-93-40.search.msn.com
157.56.93.153   msnbot-157-56-93-153.search.msn.com
157.56.93.205   msnbot-157-56-93-205.search.msn.com
157.56.92.150   msnbot-157-56-92-150.search.msn.com
157.56.229.211  msnbot-157-56-229-211.search.msn.com
157.56.93.62    msnbot-157-56-93-62.search.msn.com
157.56.93.214   msnbot-157-56-93-214.search.msn.com
157.56.93.226   msnbot-157-56-93-226.search.msn.com
157.56.93.49    msnbot-157-56-93-49.search.msn.com
157.55.32.153   msnbot-157-55-32-153.search.msn.com
157.55.32.145   msnbot-157-55-32-145.search.msn.com
157.55.35.44    msnbot-157-55-35-44.search.msn.com
65.55.24.238    msnbot-65-55-24-238.search.msn.com
65.55.213.40    msnbot-65-55-213-40.search.msn.com
65.55.24.245    msnbot-65-55-24-245.search.msn.com

BAIDU (Chinese spider)
123.125.71.96 	baiduspider-123-125-71-96.crawl.baidu.com
123.125.71.117 	baiduspider-123-125-71-117.crawl.baidu.com
123.125.71.106 	baiduspider-123-125-71-106.crawl.baidu.com
123.125.71.98 	baiduspider-123-125-71-98.crawl.baidu.com
123.125.71.94 	baiduspider-123-125-71-94.crawl.baidu.com
123.125.71.101 	baiduspider-123-125-71-101.crawl.baidu.com
123.125.71.105 	baiduspider-123-125-71-105.crawl.baidu.com

YANDEX
95.108.240.250 	spider30.yandex.ru
95.108.158.236 	imparser06.yandex.ru
178.154.243.101 spider-178-154-243-101.yandex.com
141.8.147.1     spider-141-8-147-1.yandex.com
199.21.99.124   spider-199-21-99-124.yandex.com
141.8.147.4     spider-141-8-147-4.yandex.com
199.21.99.124   spider-199-21-99-124.yandex.com
141.8.147.13    spider-141-8-147-13.yandex.com

OTHER
174.129.237.157 	ec2-174-129-237-157.compute-1.amazonaws.com
174.129.169.190         ec2-174-129-169-190.compute-1.amazonaws.com
23.22.134.71            ec2-23-22-134-71.compute-1.amazonaws.com
23.20.26.170            ec2-23-20-26-170.compute-1.amazonaws.com
213.186.120.196 	213.186.120.196.utel.net.ua
129.195.254.215         znverdi.hcuge.ch
93.180.64.200           crawl-93-180-64-200.botje.com
81.30.151.222           81-30-151-222.spider.spiderlytics.com
37.58.52.15             robot.acoon.de

173.199.115.67   173.199.115.67.ahrefs.com
173.199.115.43   173.199.115.43.ahrefs.com
173.199.114.163  173.199.114.163.ahrefs.com
173.199.120.35   173.199.120.35.ahrefs.com
173.199.116.59   173.199.116.59.ahrefs.com
173.199.120.83   173.199.120.83.ahrefs.com
173.199.114.243  173.199.114.243.ahrefs.com
173.199.120.171  173.199.120.171.ahrefs.com
173.199.116.75   173.199.116.75.ahrefs.com
173.199.120.155  173.199.120.155.ahrefs.com
173.199.116.35   173.199.116.35.ahrefs.com
173.199.114.219  173.199.114.219.ahrefs.com
173.199.116.171  173.199.116.171.ahrefs.com
173.199.118.35   173.199.118.35.ahrefs.com

130.149.225.190    worker9-4.mia.tu-berlin.de
130.149.225.170    worker9-2.mia.tu-berlin.de
130.149.225.150    worker9-1.mia.tu-berlin.de
130.149.225.180    worker9-3.mia.tu-berlin.de

5.9.10.179    crawl-5-9-10-179.infohelfer.de
5.9.39.69     crawl-5-9-39-69.infohelfer.de
5.9.86.112    crawl-5-9-86-112.infohelfer.de
5.9.88.119    crawl-5-9-88-119.infohelfer.de
5.9.10.179    crawl-5-9-10-179.infohelfer.de
5.9.86.118    crawl-5-9-86-118.infohelfer.de
5.9.56.116    crawl-5-9-56-116.infohelfer.de
5.9.86.85     crawl-5-9-86-85.infohelfer.de

173.199.120.43   173.199.120.43.choopa.net
173.199.119.11   173.199.119.11.choopa.net
173.199.115.51   173.199.115.51.choopa.net
173.199.116.91   173.199.116.91.choopa.net
173.199.115.179  173.199.115.179.choopa.net
173.199.115.35   173.199.115.35.choopa.net
173.199.115.147  173.199.115.147.choopa.net
173.199.114.235  173.199.114.235.choopa.net
173.199.117.235  173.199.117.235.choopa.net
173.199.120.131  173.199.120.131.choopa.net
173.199.115.107  173.199.115.107.choopa.net
173.199.119.155  173.199.119.155.choopa.net
173.199.116.219  173.199.116.219.choopa.net
173.199.117.251  173.199.117.251.choopa.net
173.199.115.123  173.199.115.123.choopa.net
173.199.115.171  173.199.115.171.choopa.net
173.199.114.91   173.199.114.91.choopa.net
173.199.114.51   173.199.114.51.choopa.net
173.199.114.139  173.199.114.139.choopa.net
173.199.116.51   173.199.116.51.choopa.net
173.199.119.67   173.199.119.67.choopa.net
173.199.115.11   173.199.115.11.choopa.net
173.199.115.155  173.199.115.155.choopa.net
173.199.120.59   173.199.120.59.choopa.net
173.199.120.91   173.199.120.91.choopa.net
173.199.120.123  173.199.120.123.choopa.net
173.199.114.195  173.199.114.195.choopa.net
173.199.116.235  173.199.116.235.choopa.net
173.199.119.19   173.199.119.19.choopa.net
173.199.115.59   173.199.115.59.choopa.net
173.199.116.179  173.199.116.179.choopa.net
173.199.114.211  173.199.114.211.choopa.net
173.199.115.99   173.199.115.99.choopa.net
173.199.119.147  173.199.119.147.choopa.net
173.199.115.139  173.199.115.139.choopa.net
173.199.114.187  173.199.114.187.choopa.net
173.199.120.51   173.199.120.51.choopa.net
173.199.115.131  173.199.115.131.choopa.net
173.199.120.147  173.199.120.147.choopa.net
173.199.116.43   173.199.116.43.choopa.net
173.199.114.131  173.199.114.131.choopa.net
173.199.119.51   173.199.119.51.choopa.net
173.199.114.179  173.199.114.179.choopa.net
173.199.117.243  173.199.117.243.choopa.net
173.199.114.99   173.199.114.99.choopa.net
173.199.114.243  173.199.114.243.choopa.net
